Treatment,Timestamp,BikeMoveRight2,MVWait2,Permitted2,Safe2,BikeMoveRight4,MVWait4,Permitted4,Safe4,CycleDistance,CycleDist1,CycleDist2,MVDistance,CommuteType,CommuteType1,CommuteType2,State,Gender,Education
3_SLM,8.7.2014 14:59:46,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,GA,Female,Graduate Degree
3_SLM,8.7.2014 15:29:21,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,GA,Male,Graduate Degree
3_SLM,8.7.2014 16:06:35,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,GA,Male,Graduate Degree
3_SLM,8.7.2014 6:21:08,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,GA,Male,4-Year College
3_SLM,8.8.2014 23:53:57,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,Bicycle,Bicycle,Other,GA,Male,4-Year College
2_STR,8.6.2014 22:21:19,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,GA,Male,4-Year College
2_STR,8.7.2014 10:19:28,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,GA,Male,Graduate Degree
2_STR,8.7.2014 11:26:59,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,GA,Male,4-Year College
2_STR,8.7.2014 16:08:31,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,I do not commute to work or school,I do not commute to work or school,Other,GA,Male,4-Year College
2_STR,8.7.2014 9:48:15,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,GA,Male,4-Year College
1_None,8.11.2014 13:11:33,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,I do not commute to work or school,I do not commute to work or school,Other,GA,Male,Graduate Degree
1_None,8.7.2014 11:00:21,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,GA,Male,Graduate Degree
1_None,8.7.2014 11:02:04,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,GA,Male,4-Year College
1_None,8.7.2014 11:14:27,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,GA,Female,4-Year College
1_None,8.7.2014 11:56:08,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,GA,Male,Graduate Degree
1_None,8.7.2014 12:59:54,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,GA,Male,Graduate Degree
1_None,8.7.2014 14:57:31,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,GA,Male,4-Year College
1_None,8.7.2014 19:46:14,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,GA,Male,Graduate Degree
1_None,8.7.2014 8:23:31,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,GA,Male,Graduate Degree
1_None,8.7.2014 9:49:05,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,GA,Male,High School
1_None,8.7.2014 9:53:19,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,Bicycle,Bicycle,Other,GA,Male,Graduate Degree
1_None,8.8.2014 16:32:26,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,GA,Male,4-Year College
1_None,8.8.2014 8:38:18,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,GA,Male,4-Year College
4_BMUFL,8.7.2014 7:06:46,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,HI,Male,4-Year College
1_None,8.8.2014 16:37:26,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,HI,Female,Graduate Degree
4_BMUFL,8.12.2014 9:50:46,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IA,Male,Graduate Degree
4_BMUFL,8.6.2014 18:55:48,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,Bicycle,Bicycle,Other,IA,Male,Graduate Degree
4_BMUFL,8.7.2014 12:00:10,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,None,0,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IA,Male,4-Year College
4_BMUFL,8.7.2014 12:00:17,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,None,0,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IA,Male,4-Year College
4_BMUFL,8.8.2014 20:58:54,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,None,0,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IA,Male,High School
3_SLM,8.6.2014 20:46:14,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IA,Male,4-Year College
3_SLM,8.7.2014 0:16:54,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,IA,Male,4-Year College
3_SLM,8.7.2014 13:54:57,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,IA,Male,Community College
3_SLM,8.8.2014 8:23:51,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,IA,Male,Graduate Degree
2_STR,8.8.2014 11:17:04,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IA,Male,4-Year College
1_None,8.12.2014 8:35:14,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,IA,Male,Graduate Degree
1_None,8.6.2014 17:00:33,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IA,Male,4-Year College
4_BMUFL,8.10.2014 1:36:55,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,ID,Male,4-Year College
4_BMUFL,8.6.2014 16:53:27,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,ID,Male,4-Year College
4_BMUFL,8.7.2014 14:37:33,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,ID,Male,Graduate Degree
2_STR,8.9.2014 23:38:07,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,ID,Male,Graduate Degree
1_None,8.10.2014 1:39:43,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,ID,Female,High School
1_None,8.11.2014 3:40:06,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,ID,Male,4-Year College
1_None,8.7.2014 15:43:17,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,ID,Male,Graduate Degree
4_BMUFL,8.8.2014 14:22:03,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,IL,Male,Graduate Degree
2_STR,8.20.2014 12:31:47,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,Less than 50 miles,I do not commute to work or school,I do not commute to work or school,Other,IL,Female,4-Year College
1_None,8.9.2014 12:38:05,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,IL,Male,4-Year College
4_BMUFL,8.6.2014 16:59:10,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,I do not commute to work or school,I do not commute to work or school,Other,IL,Male,Graduate Degree
4_BMUFL,8.6.2014 19:54:44,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IL,,Graduate Degree
4_BMUFL,8.6.2014 20:42:23,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,IL,Male,4-Year College
4_BMUFL,8.6.2014 23:08:33,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IL,Male,4-Year College
4_BMUFL,8.7.2014 10:34:21,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,IL,Female,Graduate Degree
4_BMUFL,9.3.2014 9:53:20,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,IL,Male,Graduate Degree
3_SLM,8.25.2014 1:50:35,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,I work as a cycle courier. My bike is my work.,Bicycle,Other,IL,Male,Community College
3_SLM,8.6.2014 16:48:29,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,IL,Male,Graduate Degree
3_SLM,8.7.2014 22:39:14,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,IL,Male,High School
3_SLM,8.8.2014 13:14:07,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,IL,Male,Community College
2_STR,8.6.2014 19:03:16,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,IL,,
2_STR,8.7.2014 14:13:09,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,IL,Male,4-Year College
2_STR,8.7.2014 17:55:03,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IL,Male,4-Year College
2_STR,8.8.2014 12:00:57,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,IL,Male,Graduate Degree
2_STR,9.3.2014 14:41:19,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,IL,Male,Graduate Degree
1_None,8.13.2014 13:05:11,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,IL,Male,Community College
1_None,8.23.2014 6:38:30,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,IL,Male,4-Year College
1_None,8.23.2014 9:01:41,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,Less than 50 miles,Bicycle,Bicycle,Other,IL,Female,Graduate Degree
1_None,8.6.2014 16:58:11,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,IL,Male,4-Year College
1_None,8.6.2014 19:29:41,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,IL,Male,4-Year College
1_None,8.6.2014 20:48:17,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,IL,Male,4-Year College
1_None,8.6.2014 22:33:21,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,IL,Male,4-Year College
1_None,8.6.2014 22:43:20,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IL,Male,Graduate Degree
1_None,8.6.2014 23:09:51,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IL,Male,High School
1_None,8.7.2014 13:30:35,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,IL,Male,4-Year College
1_None,8.7.2014 14:01:30,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,IL,Male,4-Year College
1_None,8.7.2014 14:19:56,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,IL,Female,4-Year College
1_None,8.7.2014 23:26:00,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,IL,Male,Graduate Degree
1_None,8.7.2014 8:42:17,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,IL,Male,Community College
1_None,8.7.2014 8:45:33,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IL,Male,4-Year College
4_BMUFL,8.20.2014 11:43:38,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IN,Male,Graduate Degree
4_BMUFL,8.20.2014 12:37:03,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IN,Male,High School
4_BMUFL,8.7.2014 22:29:42,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Retired, so no work or school",I do not commute to work or school,Other,IN,Female,Graduate Degree
3_SLM,8.7.2014 14:20:43,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IN,Female,Graduate Degree
3_SLM,8.9.2014 0:20:08,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,Bicycle,Bicycle,Other,IN,Male,High School
2_STR,8.6.2014 22:01:26,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,KS,Male,Community College
4_BMUFL,8.11.2014 9:17:16,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,KS,Male,Graduate Degree
3_SLM,8.7.2014 0:09:12,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,KS,Male,Community College
1_None,8.6.2014 22:33:55,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,KS,Male,4-Year College
1_None,8.7.2014 10:10:59,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,KS,Male,High School
1_None,8.7.2014 14:55:33,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,"Public transport (bus, school bus, train, etc.)","Public transport (bus, school bus, train, etc.)",Other,KS,Male,4-Year College
4_BMUFL,8.7.2014 14:56:48,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,KY,Female,Graduate Degree
1_None,8.7.2014 19:24:15,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,KY,Male,4-Year College
4_BMUFL,8.19.2014 12:28:30,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,KY,Male,4-Year College
4_BMUFL,8.7.2014 14:40:30,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,KY,Male,Graduate Degree
4_BMUFL,8.7.2014 14:59:30,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,KY,Male,4-Year College
4_BMUFL,8.7.2014 15:03:35,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,KY,Male,Graduate Degree
4_BMUFL,8.7.2014 15:19:21,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,KY,Male,Graduate Degree
4_BMUFL,8.7.2014 15:29:26,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,KY,Male,4-Year College
4_BMUFL,8.7.2014 16:44:41,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,KY,Female,Graduate Degree
4_BMUFL,8.7.2014 21:24:56,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,KY,Female,Graduate Degree
3_SLM,8.6.2014 18:36:35,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,KY,Male,4-Year College
3_SLM,8.7.2014 10:11:43,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,KY,Male,High School
3_SLM,8.7.2014 12:55:54,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,KY,Male,4-Year College
